week,born,vax_cmr,unvax_cmr,vax_alive_start,unvax_alive_start,vax_dead_week,unvax_dead_week
2021-24,1930,2964,8646,311345,66333,177,110
2021-25,1930,3619,6690,311129,66248,216,85
2021-26,1930,2766,7803,310964,66149,165,99
2021-27,1930,3087,7657,310780,66052,184,97
2021-28,1930,3408,6956,310577,65964,203,88
2021-29,1930,3242,6252,310384,65885,193,79
2021-30,1930,3294,6894,310188,65798,196,87
2021-31,1930,2993,8334,310010,65693,178,105
2021-32,1930,2928,6437,309836,65612,174,81
2021-33,1930,3233,6206,309644,65534,192,78
2021-34,1930,3218,6213,309453,65456,191,78
2021-35,1930,3473,7179,309247,65366,206,90
2021-36,1930,3357,7269,309048,65275,199,91
2021-37,1930,3630,7679,308833,65179,215,96
2021-38,1930,3531,6808,308624,65094,209,85
2021-39,1930,3770,6657,308401,65011,223,83
2021-40,1930,3840,7308,308174,64920,227,91
2021-41,1930,3894,6674,307944,64837,230,83
2021-42,1930,3795,7489,307720,64744,224,93
2021-43,1930,4137,7904,307476,64646,244,98
2021-44,1930,4497,10587,307211,64515,265,131
2021-45,1930,4450,11177,306949,64377,262,138
2021-46,1930,4743,13398,306670,64212,279,165
2021-47,1930,4560,15392,306402,64023,268,189
2021-48,1930,4479,13882,306139,63853,263,170
2021-49,1930,5251,16465,305831,63652,308,201
2021-50,1930,4146,12563,305588,63499,243,153
2021-51,1930,4132,12676,305346,63345,242,154
2021-52,1930,3981,10061,305113,63223,233,122
2022-01,1930,3505,11240,304908,63087,205,136
2022-02,1930,3901,10435,304680,62961,228,126
2022-03,1930,3527,8959,304474,62853,206,108
2022-04,1930,3718,8642,304257,62749,217,104
2022-05,1930,4425,9323,303999,62637,258,112
2022-06,1930,4033,11596,303764,62498,235,139
2022-07,1930,4484,11790,303503,62357,261,141
2022-08,1930,4711,11145,303229,62224,274,133
2022-09,1930,3940,10916,303000,62094,229,130
2022-10,1930,3892,8916,302774,61988,226,106
2022-11,1930,3895,8594,302548,61886,226,102
2022-12,1930,3708,10637,302333,61760,215,126
2022-13,1930,4159,9642,302092,61646,241,114
2022-14,1930,3972,9915,301862,61529,230,117
2022-15,1930,3872,7553,301638,61440,224,89
2022-16,1930,4394,8245,301384,61343,254,97
2022-17,1930,3514,5871,301181,61274,203,69
2022-18,1930,3603,8352,300973,61176,208,98
2022-19,1930,3415,6058,300776,61105,197,71
2022-20,1930,3313,4783,300585,61049,191,56
2022-21,1930,3141,5900,300404,60980,181,69
2022-22,1930,3578,5649,300198,60914,206,66
2022-23,1930,4415,6170,299944,60842,254,72
2022-24,1930,3653,5662,299734,60776,210,66
2022-25,1930,3603,6442,299527,60701,207,75
2022-26,1930,4285,5331,299281,60639,246,62
2022-27,1930,3033,6543,299107,60563,174,76
2022-28,1930,3384,5774,298913,60496,194,67
2022-29,1930,4382,6990,298662,60415,251,81
2022-30,1930,3598,6308,298456,60342,206,73
2022-31,1930,4091,6142,298222,60271,234,71
2022-32,1930,3446,6409,298025,60197,197,74
2022-33,1930,4307,6765,297779,60119,246,78
2022-34,1930,3995,6686,297551,60042,228,77
2022-35,1930,3384,4606,297358,59989,193,53
2022-36,1930,4036,6701,297128,59912,230,77
2022-37,1930,3740,6710,296915,59835,213,77
2022-38,1930,3778,6631,296700,59759,215,76
2022-39,1930,4168,8214,296463,59665,237,94
2022-40,1930,3572,8052,296260,59573,203,92
2022-41,1930,4086,7977,296028,59482,232,91
2022-42,1930,4195,8165,295790,59389,238,93
2022-43,1930,4428,5889,295539,59322,251,67
2022-44,1930,3884,7482,295319,59237,220,85
2022-45,1930,4170,6257,295083,59166,236,71
2022-46,1930,3925,6176,294861,59096,222,70
2022-47,1930,3911,6625,294640,59021,221,75
2022-48,1930,4693,6545,294375,58947,265,74
2022-49,1930,4538,7263,294119,58865,256,82
2022-50,1930,4933,8606,293841,58768,278,97
2022-51,1930,5987,9511,293504,58661,337,107
2022-52,1930,6065,10331,293163,58545,341,116
2023-01,1930,5466,8296,292856,58452,307,93
2023-02,1930,4847,7683,292584,58366,272,86
2023-03,1930,5066,7515,292300,58282,284,84
2023-04,1930,4124,6180,292069,58213,231,69
2023-05,1930,4377,7175,291824,58133,245,80
2023-06,1930,4202,6106,291589,58065,235,68
2023-07,1930,4402,7374,291343,57983,246,82
2023-08,1930,4137,6663,291112,57909,231,74
2023-09,1930,4015,6671,290888,57835,224,74
2023-10,1930,4215,5957,290653,57769,235,66
2023-11,1930,3788,5692,290442,57706,211,63
2023-12,1930,4186,5970,290209,57640,233,66
2023-13,1930,3721,6702,290002,57566,207,74
2023-14,1930,3832,6802,289789,57491,213,75
2023-15,1930,4231,4720,289554,57439,235,52
2023-16,1930,3766,5816,289345,57375,209,64
2023-17,1930,3444,5640,289154,57313,191,62
2023-18,1930,3554,6102,288957,57246,197,67
2023-19,1930,3738,5379,288750,57187,207,59
2023-20,1930,3523,5567,288555,57126,195,61
2023-21,1930,3218,4110,288377,57081,178,45
2023-22,1930,3492,3565,288184,57042,193,39
2023-23,1930,3494,4940,287991,56988,193,54
2023-24,1930,3623,4670,287791,56937,200,51
2023-25,1930,3354,4216,287606,56891,185,46
2023-26,1930,2920,4678,287445,56840,161,51
2023-27,1930,3339,3855,287261,56798,184,42
2023-28,1930,3614,5606,287062,56737,199,61
2023-29,1930,3871,4415,286849,56689,213,48
2023-30,1930,3747,4050,286643,56645,206,44
2023-31,1930,3112,3776,286472,56604,171,41
2023-32,1930,3132,4056,286300,56560,172,44
2023-33,1930,4392,5814,286059,56497,241,63
2023-34,1930,4013,4156,285839,56452,220,45
2023-35,1930,3906,4344,285625,56405,214,47
2023-36,1930,3470,4348,285435,56358,190,47
2023-37,1930,3802,4722,285227,56307,208,51
2023-38,1930,3512,5005,285035,56253,192,54
2023-39,1930,3661,5103,284835,56198,200,55
2023-40,1930,3370,6223,284651,56131,184,67
2023-41,1930,3776,5300,284445,56074,206,57
2023-42,1930,3632,6703,284247,56002,198,72
2023-43,1930,3946,5779,284032,55940,215,62
2023-44,1930,3582,5785,283837,55878,195,62
2023-45,1930,3971,4856,283621,55826,216,52
2023-46,1930,4066,6171,283400,55760,221,66
2023-47,1930,3535,4211,283208,55715,192,45
2023-48,1930,4459,6277,282966,55648,242,67
2023-49,1930,4223,6567,282737,55578,229,70
2023-50,1930,4245,6481,282507,55509,230,69
