Year of Birth,Number of People,Died Within 1 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1924,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1925,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1927,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1928,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1929,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1931,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1932,5,0,0,0,3,1,1,0,0,0,0,0,0,0
1933,2,0,0,0,1,1,0,0,0,0,0,0,0,0
1934,5,1,0,0,2,2,0,0,1,0,0,0,0,0
1935,4,0,0,1,3,0,0,0,0,0,0,0,0,0
1936,3,0,0,1,0,1,0,0,1,0,0,0,0,0
1937,7,0,0,0,6,0,1,0,0,0,0,0,0,0
1938,4,1,0,1,3,0,0,0,0,0,0,0,0,0
1939,5,2,0,0,2,0,2,0,1,0,0,0,0,0
1940,5,0,0,0,1,1,0,2,1,0,0,0,0,0
1941,9,0,0,0,2,4,1,0,1,0,0,0,0,1
1942,9,0,0,0,0,6,2,1,0,0,0,0,0,0
1943,15,0,0,0,0,9,3,1,1,0,0,0,0,1
1944,6,0,0,0,0,4,1,0,0,0,1,0,0,0
1945,17,2,0,0,1,9,3,3,1,0,0,0,0,0
1946,14,0,1,0,1,8,1,2,1,0,0,0,0,0
1947,19,1,0,0,0,11,3,3,2,0,0,0,0,0
1948,17,1,0,0,2,8,5,2,0,0,0,0,0,0
1949,19,0,0,0,1,6,5,5,2,0,0,0,0,0
1950,20,1,1,0,1,4,7,5,1,1,0,0,0,0
1951,12,0,0,0,0,3,5,1,3,0,0,0,0,0
1952,11,0,0,0,0,0,0,8,1,0,0,0,1,1
1953,10,0,0,1,0,0,1,5,3,0,0,0,0,0
1954,21,0,1,0,1,0,5,10,2,1,0,0,0,1
1955,15,1,1,0,0,1,3,7,1,1,0,0,0,1
1956,15,0,0,1,1,0,1,6,4,2,0,0,0,0
1957,6,0,0,1,0,0,0,3,1,1,0,0,0,0
1958,12,0,0,0,0,2,2,6,2,0,0,0,0,0
1959,13,0,0,1,0,1,4,3,3,0,0,0,0,1
1960,10,0,0,1,2,0,1,3,2,0,0,0,0,1
1961,11,0,0,0,0,3,2,2,3,1,0,0,0,0
1962,10,1,0,0,1,1,0,4,4,0,0,0,0,0
1963,12,0,0,0,2,1,1,4,3,0,1,0,0,0
1964,9,0,0,0,0,0,1,5,1,0,0,0,0,2
1965,12,0,0,0,0,4,1,3,3,0,0,0,0,1
1966,7,0,0,1,0,0,0,1,4,1,0,0,0,0
1967,8,0,0,0,0,2,1,3,2,0,0,0,0,0
1968,10,0,0,0,1,1,0,2,3,1,2,0,0,0
1969,12,0,0,0,0,1,1,6,2,0,1,0,0,1
1970,17,0,0,1,0,1,2,8,1,1,3,0,0,0
1971,13,0,0,0,2,2,1,3,3,0,0,0,0,2
1972,17,0,0,1,1,2,3,3,4,1,0,1,1,0
1973,13,0,1,0,1,0,0,6,4,1,0,0,0,0
1974,18,0,2,1,2,2,1,6,2,2,0,0,0,0
1975,12,0,1,1,0,1,1,2,4,2,0,0,0,0
1976,10,0,0,0,0,3,0,2,3,2,0,0,0,0
1977,10,0,1,0,0,3,0,3,2,1,0,0,0,0
1978,9,0,0,0,0,1,0,2,4,2,0,0,0,0
1979,18,0,0,0,1,2,0,5,6,2,1,0,0,1
1980,11,0,0,0,0,3,1,2,2,0,0,0,3,0
1981,17,0,0,0,2,2,2,2,3,2,0,0,1,3
1982,7,0,1,0,0,1,0,1,4,0,0,0,0,0
1983,18,0,0,0,0,4,1,6,6,0,0,1,0,0
1984,8,0,0,0,1,3,0,0,1,0,1,0,0,2
1985,11,0,1,1,0,0,1,1,3,0,0,0,1,3
1986,12,0,1,0,0,2,0,1,3,2,1,0,0,2
1987,12,0,0,0,0,0,0,2,3,2,3,0,0,2
1988,11,0,0,0,1,1,0,2,3,1,0,0,2,1
1989,5,0,0,0,0,1,1,0,2,1,0,0,0,0
1990,4,0,0,0,0,2,0,1,1,0,0,0,0,0
1991,11,0,0,0,0,0,0,1,4,2,0,2,0,2
1992,12,0,0,0,0,3,0,0,6,0,0,1,0,2
1993,11,0,0,2,0,0,0,1,7,0,0,0,0,1
1994,5,0,0,0,0,0,0,2,2,1,0,0,0,0
1995,7,0,0,1,0,1,0,2,0,2,0,1,0,0
1996,8,0,0,0,0,2,1,1,2,2,0,0,0,0
1997,8,0,0,0,1,0,1,2,0,2,0,0,1,1
1998,6,0,0,0,0,0,0,1,3,0,0,0,1,1
1999,7,0,0,0,0,0,2,0,3,1,0,0,0,1
2000,8,0,0,0,0,0,0,1,2,0,1,1,0,3
2001,4,0,0,0,0,0,0,1,2,0,1,0,0,0
2002,10,0,1,0,0,0,1,0,4,1,2,1,0,0
2003,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2006,3,0,0,0,0,0,0,0,0,0,0,1,2,0
2007,2,0,0,0,0,0,0,0,0,0,1,0,1,0
2008,3,0,0,2,0,0,0,0,0,0,0,0,0,1
2009,2,0,0,0,0,0,0,0,0,0,0,1,0,1
