Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-05-24,AK,1.0,17.0,0.0,686.0
2020-05-24,AL,1038.0,1219.0,230.0,20436.0
2020-05-24,AR,320.0,754.0,44.0,15628.0
2020-05-24,AZ,302.0,534.0,95.0,10028.0
2020-05-24,CA,5877.0,4582.0,1235.0,88283.0
2020-05-24,CO,896.0,1012.0,346.0,14479.0
2020-05-24,CT,5787.0,2427.0,1539.0,17759.0
2020-05-24,DC,342.0,152.0,77.0,1689.0
2020-05-24,DE,686.0,401.0,207.0,3364.0
2020-05-24,FL,1914.0,1908.0,468.0,60163.0
2020-05-24,GA,2637.0,1454.0,425.0,28576.0
2020-05-24,GU,0.0,0.0,0.0,9.0
2020-05-24,HI,1.0,102.0,0.0,3475.0
2020-05-24,IA,794.0,960.0,198.0,21015.0
2020-05-24,ID,57.0,101.0,13.0,3639.0
2020-05-24,IL,6480.0,4002.0,1615.0,57117.0
2020-05-24,IN,2283.0,1888.0,665.0,30824.0
2020-05-24,KS,210.0,480.0,53.0,15701.0
2020-05-24,KY,845.0,841.0,219.0,19892.0
2020-05-24,LA,2537.0,1608.0,736.0,22826.0
2020-05-24,MA,8961.0,4251.0,2692.0,30603.0
2020-05-24,MD,3480.0,1662.0,762.0,18816.0
2020-05-24,ME,137.0,324.0,18.0,5463.0
2020-05-24,MI,3115.0,2493.0,1065.0,30670.0
2020-05-24,MN,1079.0,1306.0,272.0,20397.0
2020-05-24,MO,1059.0,1314.0,266.0,33888.0
2020-05-24,MS,916.0,462.0,211.0,13502.0
2020-05-24,MT,5.0,146.0,2.0,3651.0
2020-05-24,NC,1165.0,1399.0,266.0,33077.0
2020-05-24,ND,109.0,386.0,28.0,4871.0
2020-05-24,NE,292.0,508.0,68.0,10139.0
2020-05-24,NH,505.0,519.0,116.0,5808.0
2020-05-24,NJ,10040.0,5823.0,3052.0,31760.0
2020-05-24,NM,257.0,277.0,78.0,4734.0
2020-05-24,NV,507.0,196.0,96.0,5090.0
2020-05-24,NY,8271.0,7099.0,3644.0,82352.0
2020-05-24,OH,2925.0,3349.0,876.0,61077.0
2020-05-24,OK,362.0,427.0,79.0,15048.0
2020-05-24,OR,98.0,233.0,24.0,6361.0
2020-05-24,PA,8384.0,7336.0,2425.0,65336.0
2020-05-24,PR,0.0,0.0,0.0,37.0
2020-05-24,RI,1329.0,605.0,363.0,6269.0
2020-05-24,SC,891.0,1003.0,164.0,15589.0
2020-05-24,SD,17.0,185.0,21.0,5223.0
2020-05-24,TN,374.0,1666.0,87.0,24447.0
2020-05-24,TX,2036.0,2451.0,316.0,78207.0
2020-05-24,UT,70.0,62.0,9.0,4824.0
2020-05-24,VA,1397.0,1070.0,298.0,24306.0
2020-05-24,VT,96.0,207.0,31.0,2183.0
2020-05-24,WA,750.0,600.0,202.0,12847.0
2020-05-24,WI,562.0,1047.0,82.0,19690.0
2020-05-24,WV,234.0,715.0,39.0,8529.0
2020-05-24,WY,10.0,77.0,2.0,2079.0
