Year of Birth,Number of People,Died Within 1 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1921,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1922,2,1,0,1,0,0,0,1,0,0,0,0,0,0
1923,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1924,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1925,2,0,1,0,1,0,0,0,0,0,0,0,0,0
1926,7,2,0,2,3,1,0,1,0,0,0,0,0,0
1927,8,2,1,3,4,0,0,0,0,0,0,0,0,0
1928,4,1,0,2,2,0,0,0,0,0,0,0,0,0
1929,6,1,0,3,3,0,0,0,0,0,0,0,0,0
1930,11,3,1,6,0,1,1,1,0,1,0,0,0,0
1931,13,2,0,2,8,2,0,1,0,0,0,0,0,0
1932,15,1,0,4,9,1,1,0,0,0,0,0,0,0
1933,23,1,0,5,11,3,0,2,1,1,0,0,0,0
1934,18,2,1,6,9,1,0,0,0,0,0,0,0,1
1935,27,2,0,10,12,3,0,0,1,0,0,0,0,1
1936,25,5,0,8,13,0,1,2,0,1,0,0,0,0
1937,31,1,1,7,16,5,1,1,0,0,0,0,0,0
1938,37,1,0,20,9,3,1,1,1,0,0,0,0,2
1939,44,2,0,8,18,5,3,7,3,0,0,0,0,0
1940,56,1,0,8,31,6,2,5,3,0,0,0,0,1
1941,70,1,0,6,13,31,5,9,4,1,1,0,0,0
1942,60,3,1,0,14,27,3,7,1,1,1,1,1,3
1943,69,4,0,0,14,31,4,13,3,1,1,1,0,1
1944,78,5,0,4,11,42,9,8,2,1,0,0,0,1
1945,68,3,0,2,9,26,14,9,5,1,0,0,2,0
1946,87,3,1,0,8,41,13,11,5,3,2,0,2,1
1947,100,3,0,1,9,35,25,17,3,6,0,2,0,2
1948,96,3,3,5,5,35,25,12,4,3,1,0,1,2
1949,89,2,0,5,5,26,29,16,3,3,0,0,1,1
1950,107,1,0,2,5,24,32,23,7,6,1,2,4,1
1951,118,0,0,4,4,14,20,56,9,5,1,1,0,4
1952,125,5,2,1,2,4,20,78,10,3,1,1,1,2
